simulations:40 population:240 rateOfInfect:0,7 rateOfRecovery:1 rateOfMoving:0,49 time:2018-07-04|12:24:53 kommentar:
228,05
228,05
233,55
228,05
215,625
210,2
216,05
222,05
228,05
228,05
228
216,125
234
233,975
228
233,975
227,925
198,15
222,075
233,925
234
221,925
227,85
227,925
239,925
227,9
221,95
233,95
216,1
221,9
215,875
221,5
222
216,025
233,875
216,075
216,025
221,925
233,8
228,375
228,025
227,95
239,925
204,075
233,925
222,075
227,9
222,05
222,075
221,925
