simulations:2000 population:240 rateOfInfect:0,5 rateOfRecovery:1 rateOfMoving:3,8 standardDiviation:True time:2018-07-04|14:55:46 kommentar:INterestingResult
18,2165 5,509848
18,8605 14,46688
19,128 19,59296
17,846 22,88453
17,8265 26,99351
18,428 31,70898
18,216 36,73338
18,089 39,77694
16,446 37,67121
16,558 40,73245
16,738 43,52542
18,0655 47,23182
17,8625 47,9662
15,6615 44,15054
14,5525 42,48088
16,5515 47,02291
15,4885 46,60222
15,317 46,78181
15,9205 47,68969
14,1 44,51896
