simulations:40 population:240 rateOfInfect:1,875 rateOfRecovery:1 rateOfMoving:2,45 time:2018-07-04|11:11:52 kommentar:
174,15
180,075
178,25
182,6
187,375
194,1
171,3
182,45
174,65
184,6
157,025
197,025
193
180,45
181,65
155,25
200,95
197,05
207,225
189,875
175,825
191,675
176,825
180,85
178,4
173,525
172,15
155,4
203,55
177,325
163,575
171,725
165,65
154,375
170,5
203,775
193,5
170,775
196,8
177,625
178,1
171,475
181
165,725
166,925
147,975
171,45
154,275
160,4
154,225
