simulations:40 population:240 rateOfInfect:1,75 rateOfRecovery:1 rateOfMoving:2,45 time:2018-07-04|11:11:23 kommentar:
190,625
176,325
178,975
177,525
169,05
183,475
211,225
174,75
171,8
169,325
182,8
181,675
182,525
193,65
171,625
205,325
185,2
181,5
209,625
169,875
188,975
168,675
175,725
181,575
183,225
200,825
191,875
150,975
176,525
182,825
155,325
169,15
194,85
180,125
177,95
182,225
190,625
180,35
152,075
184
177,825
202,175
189,15
149,05
166,55
167,75
186,4
166,3
159,5
205,25
