simulations:30 population:100 rateOfInfect:0,1 rateOfRecovery:2 rateOfMoving:10 time:2018-07-02|22:59:02 kommentar:ChangingRateOfMoving
85,76667
66,33334
82,7
76,2
85,83334
69,76667
69,73333
69,7
75,83334
89,6
82,36667
92,43333
63,5
57,03333
69,93333
79,5
76,56667
79,5
69,73333
82,8
73
56,43333
69,8
79,3
76,9
73,63333
63,16667
53,63334
76,56667
76,5
86,06667
63,63334
76,6
70
70,1
60,16667
72,96667
69,96667
72,96667
66,73333
60,2
69,76667
73,36667
70,03333
83,33334
80,1
86,5
56,8
63,56667
73,23333
83,33334
83,33334
73,3
73,36667
60,53333
76,76667
60,36666
66,96667
69,86667
63,43333
73,33334
66,76667
79,73333
70,1
70,16666
70,13333
66,86667
76,53333
66,83334
57,06667
73,53333
73,23333
80,1
83,4
73,4
80,2
84
76,8
76,7
67,06667
70,13333
76,7
70,13333
76,63333
86,63333
73,36667
86,73333
63,63334
76,76667
73,5
50,33333
86,66666
76,7
73,53333
57,13334
80
66,9
70,06667
79,96667
70,23333
