simulations:100 population:100 rateOfInfect:0,2 rateOfRecovery:2 rateOfMoving:0,1 time:2018-07-02|00:00:00 kommentar:
91,07
88,11
88,13
85,16
89,11
87,13
91,11
86,12
81,15
88,13
86,13
88,12
88,13
88,12
94,09
93,05
86,12
85,13
89,13
88,11
90,1
83,18
89,12
87,1
89,09
93,06
87,15
92,09
86,16
92,07
87,13
87,13
89,16
81,2
82,2
92,1
90,1
86,17
86,15
87,16
85,16
93,06
86,13
91,09
89,12
89,1
87,18
90,1
88,1
90,1
89,13
94,04
86,16
95,03
91,09
87,13
87,12
85,14
86,15
92,07
87,14
89,15
92,08
85,16
89,11
92,09
89,12
92,05
91,11
89,12
87,13
86,14
86,16
87,15
90,1
88,1
91,06
93,09
87,14
91,06
90,07
95,04
92,1
91,09
88,12
83,13
94,07
88,13
87,12
85,16
81,17
91,07
91,1
93,05
91,1
87,17
92,08
84,18
86,14
86,14
