simulations:30 population:100 rateOfInfect:0,1 rateOfRecovery:2 rateOfMoving:10 time:2018-07-02|21:53:46 kommentar:ChangingRateOfMoving
76,3
66,13333
75,86667
82,5
79,83334
66,06667
76,23333
85,53333
79,4
72,93333
69,63333
72,73333
73
79,13333
66,63333
72,93333
76,6
69,83334
79,66666
60,26667
76,4
72,83334
66,46667
76,16666
63,36666
63,2
82,8
86
86,16666
53,36666
69,86667
73,1
69,83334
73,06667
63,33333
63,23333
73,3
79,73333
76,46667
69,86667
76,5
79,93333
79,7
80
82,96667
73,13333
69,73333
69,96667
76,73333
76,5
86,36667
79,8
70
63,53333
79,9
63,5
63,46667
60,16667
70,06667
73,23333
63,36666
63,7
60,16667
63,63334
51
83,1
73,3
50,53333
73,4
53,83333
63,66667
54,03333
83,16666
66,76667
63,4
67,06667
50,33333
83,03333
73,56667
60,2
63,6
73,26667
70,2
63,46667
70,13333
70,2
70
60,23333
73,5
73,53333
76,63333
83,26667
76,63333
73,3
66,93333
60,4
89,96667
80,06667
67,03333
76,73333
