simulations:40 population:240 rateOfInfect:0,65 rateOfRecovery:1 rateOfMoving:0,49 time:2018-07-04|12:25:38 kommentar:
216,1
227,525
216,025
228,025
203,6
209,6
228
216,05
221,95
227,875
233,9
221,5
216,05
215,925
233,475
216,025
227,9
216,1
233,65
221,95
203,45
215,9
233,9
204,1
204
227,875
227,575
210,025
227,9
215,975
209,925
227,95
216,05
216,075
215,725
197,875
198,075
216,05
227,925
227,875
204,075
216,35
239,875
192,05
216,2
210,025
216,05
216,05
227,825
210,05
